Date,Whitehole,X800,IHSG CLOSE
03/25/2025,1.53125,1225,"6,235.62"
03/26/2025,1.774193548,1419.354839,"6,472.36"
03/27/2025,2.115384615,1692.307692,"6,510.62"
04/08/2025,0.6363636364,509.0909091,"5,996.14"
04/09/2025,0.2647058824,211.7647059,"5,967.99"
04/10/2025,2.571428571,2057.142857,"6,254.02"
04/11/2025,8.888888889,7111.111111,"6,262.23"
04/14/2025,4.3125,3450,"6,368.52"
04/15/2025,0.3673469388,293.877551,"6,441.68"
04/16/2025,0.1891891892,151.3513514,"6,400.05"
04/17/2025,0.3,240,"6,438.27"
04/21/2025,0.296875,237.5,"6,445.97"
04/22/2025,0.4642857143,371.4285714,"6,538.27"
04/23/2025,0.7659574468,612.7659574,"6,634.38"
04/24/2025,0.45,360,"6,613.48"
04/25/2025,0.3333333333,266.6666667,"6,678.92"
04/28/2025,0.3076923077,246.1538462,"6,722.97"
04/29/2025,0.3666666667,293.3333333,"6,749.08"
04/30/2025,0.4482758621,358.6206897,"6,766.79"
05/02/2025,0.375,300,"6,815.73"
05/05/2025,0.612244898,489.7959184,"6,831.95"
05/06/2025,0.7346938776,587.755102,"6,898.20"
05/07/2025,0.7872340426,629.787234,"6,926.23"
05/08/2025,0.4333333333,346.6666667,"6,827.75"
05/09/2025,0.3275862069,262.0689655,"6,832.80"
05/14/2025,0.568627451,454.9019608,"6,979.88"
05/15/2025,1.243243243,994.5945946,"7,040.16"
05/16/2025,0.75,600,"7,106.53"
05/19/2025,0.3833333333,306.6666667,"7,141.09"
05/20/2025,0.3125,250,"7,094.60"
05/21/2025,0.4166666667,333.3333333,"7,142.46"
05/22/2025,0.8888888889,711.1111111,"7,166.98"
05/23/2025,0.75,600,"7,214.16"
05/26/2025,0.9047619048,723.8095238,"7,188.35"
05/27/2025,0.4285714286,342.8571429,"7,198.97"
05/28/2025,0.7,560,"7,175.82"
06/02/2025,0.6666666667,533.3333333,"7,065.07"
06/03/2025,0.9069767442,725.5813953,"7,044.82"
06/04/2025,1.416666667,1133.333333,"7,069.04"
06/05/2025,1.9,1520,"7,113.42"
06/10/2025,1.6875,1350,"7,230.75"
06/11/2025,1.135135135,908.1081081,"7,222.46"
06/12/2025,0.6326530612,506.122449,"7,204.37"
06/13/2025,0.5,400,"7,166.06"
06/16/2025,0.5438596491,435.0877193,"7,117.59"
06/17/2025,0.8409090909,672.7272727,"7,155.85"
06/18/2025,1.857142857,1485.714286,"7,107.79"
06/19/2025,1.441176471,1152.941176,"6,968.64"
06/20/2025,1.125,900,"6,907.14"
06/23/2025,2.652173913,2121.73913,"6,787.14"
06/24/2025,4.375,3500,"6,869.17"
06/25/2025,5.428571429,4342.857143,"6,832.14"
06/26/2025,4.266666667,3413.333333,"6,897.40"
06/30/2025,2.44,1952,"6,927.68"
07/01/2025,0.6808510638,544.6808511,"6,915.36"
07/02/2025,0.5576923077,446.1538462,"6,881.25"
07/03/2025,0.5471698113,437.7358491,"6,878.05"
07/04/2025,0.7826086957,626.0869565,"6,865.19"
07/07/2025,1.153846154,923.0769231,"6,900.93"
07/08/2025,1.484848485,1187.878788,"6,904.39"
07/09/2025,1.102564103,882.0512821,"6,943.92"
07/10/2025,1.363636364,1090.909091,"7,005.37"
07/11/2025,0.9130434783,730.4347826,"7,047.44"
07/14/2025,0.4736842105,378.9473684,"7,097.15"
07/15/2025,0.2794117647,223.5294118,"7,140.47"
07/16/2025,0.3389830508,271.1864407,"7,192.02"
07/17/2025,0.6862745098,549.0196078,"7,287.02"
07/18/2025,0.8222222222,657.7777778,"7,311.92"
07/21/2025,0.6470588235,517.6470588,"7,398.19"
07/22/2025,0.6875,550,"7,344.74"
07/23/2025,0.6274509804,501.9607843,"7,469.23"
07/24/2025,1.071428571,857.1428571,"7,530.90"
07/25/2025,1.023255814,818.6046512,"7,543.50"
07/28/2025,0.8510638298,680.8510638,"7,614.77"
07/29/2025,0.5185185185,414.8148148,"7,617.91"
07/30/2025,0.6875,550,"7,549.89"
07/31/2025,0.5849056604,467.9245283,"7,484.34"
08/01/2025,0.679245283,543.3962264,"7,537.77"
08/04/2025,1.371428571,1097.142857,"7,464.65"
08/05/2025,1.617647059,1294.117647,"7,515.19"
08/06/2025,1.580645161,1264.516129,"7,503.75"
08/07/2025,0.8571428571,685.7142857,"7,490.18"
08/08/2025,0.914893617,731.9148936,"7,533.38"
08/11/2025,0.7446808511,595.7446809,"7,605.92"
08/12/2025,0.8723404255,697.8723404,"7,791.70"
08/13/2025,0.7446808511,595.7446809,"7,892.91"
08/14/2025,0.7142857143,571.4285714,"7,931.25"
08/15/2025,0.5636363636,450.9090909,"7,898.38"
08/19/2025,0.5272727273,421.8181818,"7,862.95"
08/20/2025,1.078947368,863.1578947,"7,943.83"
08/21/2025,1.575757576,1260.606061,"7,890.71"
08/22/2025,0.9285714286,742.8571429,"7,858.85"
08/25/2025,0.66,528,"7,926.91"
08/26/2025,0.6590909091,527.2727273,"7,905.76"
08/27/2025,0.8444444444,675.5555556,"7,936.18"
08/28/2025,1.051282051,841.025641,"7,952.09"
08/29/2025,1.125,900,"7,830.49"
09/01/2025,1.25,1000,"7,736.07"
09/02/2025,1.838709677,1470.967742,"7,801.58"
09/03/2025,2.863636364,2290.909091,"7,885.86"
09/04/2025,2.107142857,1685.714286,"7,867.35"
09/08/2025,0.6875,550,"7,766.85"
09/09/2025,0.1690140845,135.2112676,"7,628.60"
09/10/2025,0.7021276596,561.7021277,"7,699.01"
09/11/2025,1.65625,1325,"7,747.90"
09/12/2025,2.52173913,2017.391304,"7,854.06"
09/15/2025,1.75,1400,"7,937.12"
09/16/2025,0.6666666667,533.3333333,"7,957.70"
09/17/2025,0.3387096774,270.9677419,"8,025.18"
09/18/2025,0.2833333333,226.6666667,"8,008.43"
09/19/2025,0.4642857143,371.4285714,"8,051.12"
09/22/2025,1.125,900,"8,040.04"
09/23/2025,1.411764706,1129.411765,"8,125.20"
09/24/2025,1.548387097,1238.709677,"8,126.56"
09/25/2025,0.7,560,"8,040.67"
09/26/2025,0.6382978723,510.6382979,"8,099.33"
09/29/2025,1.023809524,819.047619,"8,123.25"
09/30/2025,1.125,900,"8,061.06"
10/01/2025,0.9777777778,782.2222222,"8,043.82"
10/02/2025,1.210526316,968.4210526,"8,071.08"
10/03/2025,2,1600,"8,118.30"
10/06/2025,1.575757576,1260.606061,"8,139.89"
10/07/2025,0.8409090909,672.7272727,"8,169.28"
10/08/2025,0.7291666667,583.3333333,"8,166.03"
10/09/2025,0.7826086957,626.0869565,"8,250.94"
10/10/2025,0.9285714286,742.8571429,"8,257.86"
10/13/2025,0.6734693878,538.7755102,"8,227.20"
10/14/2025,0.5,400,"8,066.52"
10/15/2025,0.8139534884,651.1627907,"8,051.17"
10/16/2025,2.28,1824,"8,124.76"
10/17/2025,2.583333333,2066.666667,"7,915.66"
10/20/2025,1.371428571,1097.142857,"8,088.98"
10/21/2025,1.382352941,1105.882353,"8,238.08"
10/22/2025,0.9761904762,780.952381,"8,152.55"
10/23/2025,0.7826086957,626.0869565,"8,274.35"
10/24/2025,0.5660377358,452.8301887,"8,271.72"
10/27/2025,0.5090909091,407.2727273,"8,117.15"
10/28/2025,0.925,740,"8,092.63"
10/29/2025,0.9318181818,745.4545455,"8,166.22"
10/30/2025,1.351351351,1081.081081,"8,184.06"
10/31/2025,0.9302325581,744.1860465,"8,163.88"
11/03/2025,0.5849056604,467.9245283,"8,275.08"
11/04/2025,0.6304347826,504.3478261,"8,241.91"
11/05/2025,0.64,512,"8,318.53"
11/06/2025,0.9523809524,761.9047619,"8,337.06"
11/07/2025,0.8372093023,669.7674419,"8,394.59"
11/10/2025,1.131578947,905.2631579,"8,391.24"
11/11/2025,0.9459459459,756.7567568,"8,366.51"
11/12/2025,1.27027027,1016.216216,"8,388.57"
11/13/2025,1.388888889,1111.111111,"8,372.00"
11/14/2025,1.179487179,943.5897436,"8,370.44"
11/17/2025,0,0,"8,416.88"
11/18/2025,0,0,"8,361.93"
11/19/2025,1.239130435,991.304348,"8,406.58"
11/20/2025,1.368421053,1094.736842,"8,419.92"
11/21/2025,1.022222222,817.7777776,"8,414.35"
11/24/2025,1,800,"8,570.25"
11/25/2025,0.9387755102,751.0204082,"8,521.88"
11/26/2025,0.7407407407,592.5925926,"8,602.13"
11/27/2025,1.181818182,945.4545456,"8,545.87"
11/28/2025,1.243902439,995.1219512,"8,508.71"
12/01/2025,1.657142857,1325.714286,"8,548.79"
12/02/2025,1.0625,850,"8,617.04"
12/03/2025,0.9607843137,768.627451,"8,611.79"
12/04/2025,0.9318181818,745.4545454,"8,640.20"
12/05/2025,1.130434783,904.3478264,"8,632.76"
12/08/2025,0.8461538462,676.923077,"8,710.70"
12/09/2025,1.225,980,"8,657.18"
12/10/2025,1.41025641,1128.205128,"8,700.92"
12/11/2025,3.095238095,2476.190476,"8,620.48"
12/12/2025,3.130434783,2504.347826,"8,660.50"
12/15/2025,1.657142857,1325.714286,"8,649.66"
12/16/2025,1.044444444,835.5555552,"8,686.47"
12/17/2025,0.7755102041,620.4081633,"8,677.34"
12/18/2025,1.046511628,837.2093024,"8,618.20"
12/19/2025,1.181818182,945.4545456,"8,609.55"
12/22/2025,1.159090909,927.2727272,"8,645.84"
12/23/2025,1.181818182,945.4545456,"8,584.78"
12/24/2025,1.459459459,1167.567567,"8,537.91"
12/29/2025,0.9787234043,782.9787234,"8,644.26"
12/30/2025,0.7547169811,603.7735849,"8,646.94"
01/02/2026,0.515625,412.5,"8,748.13"
01/05/2026,0.5737704918,459.0163934,"8,859.19"
01/06/2026,0.4307692308,344.6153846,"8,933.61"
01/07/2026,0.5079365079,406.3492063,"8,944.81"
01/08/2026,0.8113207547,649.0566038,"8,925.47"
01/09/2026,1.043478261,834.7826088,"8,936.75"
01/12/2026,1.696969697,1357.575758,"8,884.72"
01/13/2026,1.358974359,1087.179487,"8,948.30"
01/14/2026,0.9795918367,783.6734694,"9,032.58"
01/15/2026,0.8039215686,643.1372549,"9,075.41"
01/19/2026,0.4745762712,379.661017,"9,133.87"
01/20/2026,0.5263157895,421.0526316,"9,134.70"
01/21/2026,0.862745098,690.1960784,"9,010.33"
01/22/2026,0.9166666667,733.3333334,"8,992.18"
01/23/2026,0.9583333333,766.6666666,"8,951.01"
01/26/2026,1,800,"8,975.33"
01/27/2026,1.307692308,1046.153846,"8,980.23"
01/28/2026,5,4000,"8,320.56"
01/29/2026,7.25,5800,"8,232.20"
